format,bet_type,stakes,match,probability,odds,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7
456,Ordinary,1,Group 0,0,,,,,,,,
456,Ordinary,1,Group 1,1.2277380399898834e-7,8145060,1,,,,,,
456,Ordinary,1,Group 2,7.3664282399393e-7,1357510,,1,,,,,
456,Ordinary,1,Group 3,0.000027992427311769342,35724,,,1,,,,
456,Ordinary,1,Group 4,0.00006998106827942335,14290,,,,1,,,
456,Ordinary,1,Group 5,0.0012946497631693321,772,,,,,1,,
456,Ordinary,1,Group 6,0.0017261996842257762,579,,,,,,1,
456,System 7,7,Group 0,2.2036323794690215e-8,45379620,1,6,,,,,
456,System 7,7,Group 1,8.373803041982282e-7,1194201,1,,6,,,,
456,System 7,7,Group 2,0.000005024281825189369,199033,,1,1,5,,,
456,System 7,7,Group 3,0.00009294921376600332,10759,,,2,,5,,
456,System 7,7,Group 4,0.00023237303441500832,4303,,,,2,1,4,
456,System 7,7,Group 5,0.0027884764129801,359,,,,,3,,
456,System 7,7,Group 6,0.003717968550640133,269,,,,,,3,
456,System 8,28,Group 0,1.7629059035752172e-7,5672453,1,6,6,15,,,
456,System 8,28,Group 1,0.0000032613759216141514,306619,1,,12,,15,,
456,System 8,28,Group 2,0.000019568255529684912,51103,,1,2,10,5,10,
456,System 8,28,Group 3,0.0002348190663562189,4259,,,3,,15,,
456,System 8,28,Group 4,0.0005870476658905474,1703,,,,3,3,12,
456,System 8,28,Group 5,0.005136667076542289,195,,,,,6,,
456,System 8,28,Group 6,0.006848889435389719,146,,,,,,6,
456,System 9,84,Group 0,7.933076566088477e-7,1260545,1,6,12,30,15,20,
456,System 9,84,Group 1,0.000009519691879306173,105045,1,,18,,45,,
456,System 9,84,Group 2,0.000057118151275837036,17508,,1,3,15,15,30,
456,System 9,84,Group 3,0.000499783823663574,2001,,,4,,30,,
456,System 9,84,Group 4,0.0012494595591589352,800,,,,4,6,24,
456,System 9,84,Group 5,0.00849632500228076,118,,,,,10,,
456,System 9,84,Group 6,0.011328433336374346,88,,,,,,10,
456,System 10,210,Group 0,0.0000026443588553628257,378164,1,6,18,45,45,60,
456,System 10,210,Group 1,0.00002313813998442473,43219,1,,24,,90,,
456,System 10,210,Group 2,0.00013882883990654836,7203,,1,4,20,30,60,
456,System 10,210,Group 3,0.0009440361113645288,1059,,,5,,50,,
456,System 10,210,Group 4,0.002360090278411322,424,,,,5,10,40,
456,System 10,210,Group 5,0.012980496531262271,77,,,,,15,,
456,System 10,210,Group 6,0.017307328708349695,58,,,,,,15,
456,System 11,462,Group 0,0.000007271986852247771,137514,1,6,24,60,90,120,
456,System 11,462,Group 1,0.00004944951059528485,20223,1,,30,,150,,
456,System 11,462,Group 2,0.00029669706357170905,3370,,1,5,25,50,100,
456,System 11,462,Group 3,0.0016318338496444,613,,,6,,75,,
456,System 11,462,Group 4,0.004079584624111,245,,,,6,15,60,
456,System 11,462,Group 5,0.018649529710221713,54,,,,,21,,
456,System 11,462,Group 6,0.02486603961362895,40,,,,,,21,
456,System 12,924,Group 0,0.00001745276844539465,57298,1,6,30,75,150,200,
456,System 12,924,Group 1,0.00009599022644967059,10418,1,,36,,225,,
456,System 12,924,Group 2,0.0005759413586980235,1736,,1,6,30,75,150,
456,System 12,924,Group 3,0.002632874782619536,380,,,7,,105,,
456,System 12,924,Group 4,0.0065821869565488396,152,,,,7,21,84,
456,System 12,924,Group 5,0.025505974456626754,39,,,,,28,,
456,System 12,924,Group 6,0.034007965942169004,29,,,,,,28,
496,Ordinary,1,Group 0,0,,,,,,,,
496,Ordinary,1,Group 1,7.151123842018516e-8,13983816,1,,,,,,
496,Ordinary,1,Group 2,4.29067430521111e-7,2330636,,1,,,,,
496,Ordinary,1,Group 3,0.00001802083208188666,55491,,,1,,,,
496,Ordinary,1,Group 4,0.000045052080204716656,22197,,,,1,,,
496,Ordinary,1,Group 5,0.0009235676441966914,1083,,,,,1,,
496,Ordinary,1,Group 6,0.0012314235255955885,812,,,,,,1,
496,Ordinary,1,Group 7,0.016418980341274512,61,,,,,,,1
496,System 7,7,Group 0,1.1641364393983631e-8,85900584,1,6,,,,,
496,System 7,7,Group 1,4.889373045473126e-7,2045252,1,,6,,,,
496,System 7,7,Group 2,0.0000029336238272838754,340875,,1,1,5,,,
496,System 7,7,Group 3,0.00006013928845931944,16628,,,2,,5,,
496,System 7,7,Group 4,0.0001503482211482986,6651,,,,2,1,4,
496,System 7,7,Group 5,0.0020046429486439816,499,,,,,3,,4
496,System 7,7,Group 6,0.002672857264858642,374,,,,,,3,1
496,System 7,7,Group 7,0.026060358332371757,38,,,,,,,4
496,System 8,28,Group 0,9.313091515186905e-8,10737573,1,6,6,15,,,
496,System 8,28,Group 1,0.0000019091837606133156,523784,1,,12,,15,,
496,System 8,28,Group 2,0.000011455102563679893,87297,,1,2,10,5,10,
496,System 8,28,Group 3,0.00015273470084906524,6547,,,3,,15,,10
496,System 8,28,Group 4,0.0003818367521226631,2619,,,,3,3,12,4
496,System 8,28,Group 5,0.0037229083331959656,269,,,,,6,,16
496,System 8,28,Group 6,0.00496387777759462,201,,,,,,6,4
496,System 8,28,Group 7,0.03772547110971911,27,,,,,,,10
496,System 9,84,Group 0,4.190891181834107e-7,2386127,1,6,12,30,15,20,
496,System 9,84,Group 1,0.000005587854909112143,178960,1,,18,,45,,20
496,System 9,84,Group 2,0.00003352712945467286,29827,,1,3,15,15,30,10
496,System 9,84,Group 3,0.00032688951218306036,3059,,,4,,30,,40
496,System 9,84,Group 4,0.0008172237804576508,1224,,,,4,6,24,16
496,System 9,84,Group 5,0.006210900731478146,161,,,,,10,,40
496,System 9,84,Group 6,0.008281200975304196,121,,,,,,10,10
496,System 9,84,Group 7,0.05106740601437587,20,,,,,,,20
496,System 10,210,Group 0,0.0000013969637272780358,715838,1,6,18,45,45,60,20
496,System 10,210,Group 1,0.00001362039634096085,73419,1,,24,,90,,80
496,System 10,210,Group 2,0.00008172237804576509,12237,,1,4,20,30,60,40
496,System 10,210,Group 3,0.0006210900731478148,1610,,,5,,50,,100
496,System 10,210,Group 4,0.0015527251828695366,644,,,,5,10,40,40
496,System 10,210,Group 5,0.009575138627695476,104,,,,,15,,80
496,System 10,210,Group 6,0.012766851503593968,78,,,,,,15,20
496,System 10,210,Group 7,0.06565809344705469,15,,,,,,,35
496,System 11,462,Group 0,0.000003841650250014598,260305,1,6,24,60,90,120,80
496,System 11,462,Group 1,0.00002919654190011095,34251,1,,30,,150,,200
496,System 11,462,Group 2,0.0001751792514006657,5708,,1,5,25,50,100,100
496,System 11,462,Group 3,0.001080272050304105,926,,,6,,75,,200
496,System 11,462,Group 4,0.0027006801257602625,370,,,,6,15,60,80
496,System 11,462,Group 5,0.013889212075338494,72,,,,,21,,140
496,System 11,462,Group 6,0.018518949433784657,54,,,,,,21,35
496,System 11,462,Group 7,0.08102040377280788,12,,,,,,,56
496,System 12,924,Group 0,0.000009219960600035037,108460,1,6,30,75,150,200,200
496,System 12,924,Group 1,0.00005685642370021605,17588,1,,36,,225,,400
496,System 12,924,Group 2,0.0003411385422012963,2931,,1,6,30,75,150,200
496,System 12,924,Group 3,0.0017544267884638093,570,,,7,,105,,350
496,System 12,924,Group 4,0.0043860669711595236,228,,,,7,21,84,140
496,System 12,924,Group 5,0.019189042998822917,52,,,,,28,,224
496,System 12,924,Group 6,0.025585390665097223,39,,,,,,28,56
496,System 12,924,Group 7,0.09665592029036728,10,,,,,,,84